了解	liao-jie
了结	liao-jie
明了	ming-liao
了然	liao-ran
了得	liao-de
了了	liao-liao
了不	liao-bu
了得	liao-de
了断	liao-duan
了却	liao-que
了如	liao-ru
了悟	liao-wu
了账	liao-zhang
婀娜	e-nuo
袅娜	niao-nuo
会计	kuai-ji
会稽	kuai-ji
阿家	a-gu
还乡	huan-xiang
还俗	huan-su
纤道	qian-dao
纤夫	qian-fu
拉纤	la-qian
纤绳	qian-shen
纤手	qian-shou
偿还	chang-huan
归还	gui-huan
还本	huan-ben
奉还	feng-huan
还童	huan-tong
还原	huan-yuan
交还	jiao-huan
还珠	huan-zhu
还款	huan-kuan
还钱	huan-qian
还手	huan-shou
还魂	huan-hun
还价	huan-jia
还清	huan-qing
还愿	huan-yuan
还债	huan-zhai
还账	huan-zhang
还嘴	huan-zui
便秘	bian-bi
便宜	pian-yi
便嬖	pian-bi
便便	pian-pian
便侫	pian-ning
轧钢	zha-gang
轧辊	zha-gun
轧机	zha-ji
轧制	zha-zhi
轧朋	ga-peng
轧账	ga-zhang
很轧	hen-ga
轧拉	ga-la
轧轧	ga-ga
商贾	shang-gu
富贾	fu-gu
贾人	gu-ren
自见	zi-xian
万俟	mo-qi
兀术	wu-zhu
秦桧	qin-hui
炮烙	pao-luo
怔忪	zheng-zhong
巷道	hang-dao
骨殖	gu-shi
於戏	wu-hu
戏戟	hui-ji
戏竹	hui-zhu
扁舟	pian-zhou
浒墅	xu-shu
浒浦	xu-pu
曲阿	qu-e
东阿	dong-e
阿胶	e-jiao
孱头	can-tou
大夫	dai-fu
大黄	dai-huang
大王	dai-wang
舍车	she-ju
弃车	qi-ju
长春	chang-chun
长沙	chang-sha
长度	chang-du
长城	chang-cheng
波长	bo-chang
长安	chang-an
长跑	chang-pao
长篇	chang-pian
长野	chang-ye
长波	chang-bo
长班	chang-ban
长策	chang-ce
长处	chang-chu
长此	chang-ci
桔梗	jie-geng
长存	chang-cun
长虫	chang-chong
长笛	chang-di
长短	chang-duan
长调	chang-diao
长队	chang-dui
长方	chang-fang
长风	chang-feng
长歌	chang-ge
长庚	chang-geng
长工	chang-gong
长鼓	chang-gu
长跪	chang-gui
长河	chang-he
长虹	chang-hong
长话	chang-hua
长假	chang-jia
长铗	chang-jia
长江	chang-jiang
长久	chang-jiu
长句	chang-ju
长空	chang-kong
长局	chang-ju
长裤	chang-ku
长廊	chang-lang
长龙	chang-long
长矛	chang-mao
长眠	chang-mian
长年	chang-nian
长明	chang-ming
长生	chang-sheng
重庆	chong-qing
重复	chong-fu
重播	chong-bo
重重	chong-chong
重唱	chong-chang
重叠	chong-die
重出	chong-chu
重蹈	chong-dao
重返	chong-fan
重合	chong-he
重建	chong-jian
重拍	chong-pai
重新	chong-xin
重孙	chong-sun
重温	chong-wen
重现	chong-xian
重围	chong-wei
重弹	chong-tan
重审	chong-shen
重生	chong-sheng
重见	chong-jian
重婚	chong-hun
重置	chong-zhi
重装	chong-zhuang
重启	chong-qi
重起	chong-qi
重阳	chong-yang
重做	chong-zuo
重写	chong-xie
重寫	chong-xie
一暴	yi-pu
鸭绿	ya-lu
绿林	lu-lin
绿营	lu-ying
采绿	cai-lu
音乐	yin-yue
乐器	yue-qi
乐府	yue-fu
乐歌	yue-ge
乐音	yue-yin
乐池	yue-chi
声乐	sheng-yue
器乐	qi-yue
响乐	xiang-yue
乐正	yue-zheng
奏乐	zou-yue
乐人	yue-ren
乐队	yue-dui
乐官	yue-guan
乐感	yue-gan
乐迷	yue-mi
乐律	yue-lv
乐谱	yue-pu
乐清	yue-qing
乐曲	yue-qu
乐师	yue-shi
乐坛	yue-tan
乐团	yue-tuan
乐章	yue-zhang
厦门	xia-men
故都	gu-du
成都	cheng-du
首都	shou-du
都市	du-shi
都江	du-jiang
都督	du-du
京都	jing-du
建都	jian-du
自给	zi-ji
供给	gong-ji
补给	bu-ji
给养	ji-yang
给口	ji-kou
给捷	ji-jie
配给	pei-ji
给使	ji-shi
给付	ji-fu
给予	ji-yu
六安	lu-an
六合	lu-he
率领	shuai-ling
率先	shuai-xian
率土	shuai-tu
轻率	qing-shuai
率真	shuai-zhen
率直	shuai-zhi
率马	shuai-ma
率然	shuai-ran
率众	shuai-zhong
率队	shuai-dui
坦率	tan-shuai
草率	cao-shuai
率尔	shuai-er
率常	shuai-chang
率兽	shuai-shou
率时	shuai-shi
率导	shuai-dao
统率	tong-shuai
表率	biao-shuai
闭塞	bi-se
阻塞	zu-se
搪塞	tang-se
塞责	se-ze
纶巾	guan-jin
垌冢	tong-zhong
圩场	xu-chang
圩日	xu-ri
圩市	xu-shi
圩镇	xu-zhen
盱眙	xu-yi
血的	xie-de
血淋	xie-lin
茅塞	mao-se
绸缪	chou-mou
缪巧	miu-qiao
纰缪	pi-miu
缪说	miu-shuo
缪妄	miu-wang
缪舛	miu-chuan
塞音	se-yin
堡子	bu-zi
埋怨	man-yuan
大埔	da-bu
圈养	juan-yang
圈舍	juan-she
猪圈	zhu-juan
圈牢	juan-lao
羊圈	yang-juan
狗圈	gou-juan
圈肥	juan-fei
圜山	huan-shan
圜流	huan-liu
圜凿	huan-zao
络子	lao-zi
熨帖	yu-tie
燥子	sao-zi
一觉	yi-jiao
睡觉	shui-jiao
午觉	wu-jiao
黄柏	huang-bo
柏林	bo-lin
柏拉	bo-la
桃核	tao-hu
杏核	xing-hu
栅极	shan-ji
光栅	guang-shan
大栅	da-shi
上栅	shang-ce
下栅	xia-ce
校场	jiao-chang
校勘	jiao-kan
校订	jiao-ding
校对	jiao-dui
校猎	jiao-lie
校样	jiao-yang
校度	jiao-du
校怨	jiao-yuan
校射	jiao-she
校计	jiao-ji
校饬	jiao-chi
校测	jiao-ce
校验	jiao-yan
校阅	jiao-yue
校正	jiao-zheng
校注	jiao-zhu
校准	jiao-zhun
栖栖	xi-xi
栖屑	xi-xie
栖遑	xi-huang
栖皇	xi-huang
栖惶	xi-huang
五棓	wu-bei
穆棱	mu-ling
楷树	jie-shu
槟榔	bing-lang
槛车	jian-che
牟平	mu-ping
犍为	qian-wei
欸乃	ai-nai
歙砚	she-yan
歙县	she-xian
晻晻	yan-yan
阏氏	yan-zhi
月氏	yue-zhi
流氓	liu-mang
禅让	shan-rang
刘禅	liu-shan
殷红	yan-hong
殷妍	yan-yan
一沓	yi-da
可恶	ke-wu
厌恶	yan-wu
好恶	hao-wu
恶劳	wu-lao
憎恶	zeng-wu
深恶	shen-wu
恶讪	wu-shan
曾孙	zeng-sun
曾祖	zeng-zu
杭育	hang-yo
脉脉	mo-mo
体胖	ti-pan
胸脯	xiong-pu
脯子	pu-zi
稽首	qi-shou
文种	wen-chong
腌臜	a-za
朝阳	zhao-yang
朝晖	zhao-hui
朝朝	zhao-zhao
朝暮	zhao-mu
朝霞	zhao-xia
朝气	zhao-qi
朝思	zhao-si
朝令	zhao-ling
朝秦	zhao-qin
今朝	jin-zhao
朝辞	zhao-ci
朝夕	zhao-xi
爪牙	zhao-ya
爪哇	zhao-wa
镐头	gao-tou
鸟事	diao-shi
鸟乱	diao-luan
瀑河	bao-he
湖泊	hu-po
水泊	shui-po
血泊	xue-po
泌阳	bi-yang
沉没	chen-mo
埋没	mai-mo
没落	mo-luo
淹没	yan-mo
没收	mo-shou
抄没	chao-mo
没世	mo-shi
没齿	mo-chi
隐没	yin-mo
出没	chu-mo
汤汤	shang-shang
提防	di-fang
提溜	di-liu
攒集	cuan-ji
攒射	cuan-she
攒动	cuan-dong
老挝	lao-wo
执拗	zhi-niu
尿脬	sui-pao
尿泡	sui-pao
壳牌	qiao-pai
地壳	di-qiao
脱壳	tuo-qiao
否泰	pi-tai
否极	pi-ji
倔强	jue-jiang
尉迟	yu-chi
迫击	pai-ji
吐蕃	tu-bo
自艾	zi-yi
起劲	qi-jin
费劲	fei-jin
劲力	jin-li
冒顿	mo-du
折本	she-ben
折秤	she-cheng
折耗	she-hao
折钱	she-qian
扒开	ba-kai
扒拉	ba-la
扒钉	ba-ding
扒车	ba-che
繁峙	fan-shi
星宿	xing-xiu
咀嚼	ju-jue
恐吓	kong-he
威吓	wei-he
句丽	gou-li
句践	gou-jian
委蛇	wei-yi
仿佛	fang-fu
哽咽	geng-ye
呜咽	wu-ye
吟哦	yin-e
哦吟	e-yin
伍员	wu-yun
膀胱	pang-guang
胳臂	ge-bei
的确	di-que
的当	di-dang
的的	di-di
的士	di-shi
之的	zhi-di
目的	mu-di
秘鲁	bi-lu
称心	chen-xin
称职	chen-zhi
相称	xiang-chen
匀称	yun-chen
对称	dui-chen
盛饭	cheng-fan
盛器	cheng-qi
省亲	xing-qin
反省	fan-xing
省察	xing-cha
省悟	xing-wu
深省	shen-xing
不省	bu-xing
行列	hang-lie
银行	yin-hang
排行	pai-hang
商行	shang-hang
行业	hang-ye
行规	hang-gui
行会	hang-hui
行话	hang-hua
行几	hang-ji
行家	hang-jia
行当	hang-dang
行距	hang-ju
行情	hang-qing
行市	hang-shi
行伍	hang-wu
行阵	hang-zhen
行子	hang-zi
同行	tong-hang
穿着	chuan-zhuo
着陆	zhuo-lu
